language;allowance_id;theme;group_by;financing_category;financing_id;financing_label;financing_year;financing_type;budget_or_final;donor_type;allowance_label
fr;693;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: HEV Kanton Zürich, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;694;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SWISS REINSURANCE COMPANY LIMITED, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;695;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Portmann Hans-Peter, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;696;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Balmer Bettina, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;697;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Sauter Regine, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;698;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Walti Beat, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;699;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Walti Beat, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;7;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants budgétés;personne physique;Donateur/trice: Steinmann-Fehr Sabine, Acteur/trice: Sozialdemokratische Partei des Kantons Glarus, Netstal
fr;70;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: SP Schweiz, Acteur/trice: Sozialdemokratische Partei des Kantons Bern, Bern
fr;700;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Silberschmidt Andri, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;701;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Farner Martin, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;702;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Müller Matthias, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;703;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Portmann Hans-Peter, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
fr;704;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;"Donateur/trice: PAMAG Konsolen & Montagen, Acteur/trice: Überparteiliches Komitee ""KR Paul Mayer in den Nationalrat"", Marthalen"
fr;705;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;"Donateur/trice: PAMAG Metallbau AG, Acteur/trice: Überparteiliches Komitee ""KR Paul Mayer in den Nationalrat"", Marthalen"
fr;706;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;"Donateur/trice: Mayer Paul, Acteur/trice: Überparteiliches Komitee ""KR Paul Mayer in den Nationalrat"", Marthalen"
fr;707;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SP Schweiz, Acteur/trice: Sozialdemokratische Partei Basel-Stadt, Basel-Stadt
fr;708;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SP Schweiz, Acteur/trice: Sozialdemokratische Partei Basel-Stadt, Basel-Stadt
fr;711;allowances;alphabetical;Financement des campagnes;2;22.10.2023 Élections au Conseil des États 2023;;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Bärenclub der SVP des Kantons Bern, Acteur/trice: Überparteiliches Wahlkomitee Werner Salzmann in den Ständerat, Mülchi
fr;719;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: BastA!, Acteur/trice: Grünes Bündnis, Basel
fr;720;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: GRÜNE Basel-Stadt, Acteur/trice: Grünes Bündnis, Basel
fr;721;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Der Schweizerische Arbeitgeberverband, Acteur/trice: Le Centre, Bern
fr;722;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Holcim Schweiz AG, Acteur/trice: Le Centre, Bern
fr;723;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: DIE MITTE-FRAKTION. DIE MITTE. EVP. (M-E), Acteur/trice: Le Centre, Bern
fr;728;allowances;alphabetical;Financement des campagnes;2;22.10.2023 Élections au Conseil des États 2023;;campaign_financing;Montants finaux;personne physique;Donateur/trice: Burkard Kroeber Carmita, Acteur/trice: Les Vert-e-s neuchâtelois-es, Neuchâtel
fr;734;allowances;alphabetical;Financement des campagnes;2;22.10.2023 Élections au Conseil des États 2023;;campaign_financing;Montants finaux;personne physique;Donateur/trice: Germann Hannes, Acteur/trice: Schweizerische Volkspartei des Kantons Schaffhausen, Schaffhausen
fr;735;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Comité de coordination des associations économiques, Acteur/trice: Le Centre du canton de Genève, Genève
fr;737;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Evangelische Volkspartei der Schweiz, Acteur/trice: Evangelische Volkspartei Kanton Bern, Bern
fr;744;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SP Kanton Bern, Acteur/trice: Jeunesse Socialiste du Canton de Berne, Berne
fr;745;allowances;alphabetical;Financement des campagnes;2;22.10.2023 Élections au Conseil des États 2023;;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: PLR Canton de Fribourg, Acteur/trice: Gapany Johanna, Bulle
fr;746;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SP Schweiz, Acteur/trice: Sozialdemokratische Partei des Kantons Luzern, Luzern
fr;747;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SP Schweiz, Acteur/trice: Sozialdemokratische Partei des Kantons Luzern, Luzern
fr;752;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Supporterclub FDP AR, Acteur/trice: FDP.Die Liberalen des Kantons Appenzell Ausserrhoden, Heiden
fr;753;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Supporter-Club der FDP des Kantons St.Gallen, Acteur/trice: Freisinnig-Demokratische Partei des Kantons St. Gallen, St. Gallen
fr;754;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Parti démocrate chrétien / Fêtes du printemps, Acteur/trice: Le Centre Fribourg, Fribourg
fr;755;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Parti démocrate chrétien / Fêtes du printemps, Acteur/trice: Le Centre Fribourg, Fribourg
fr;759;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Burger Philippe, Acteur/trice: Parti Pirate Bernois, Berne
fr;761;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Burger Philippe, Acteur/trice: Parti Pirate Suisse, Berne
fr;762;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Burkard Carmita, Acteur/trice: Verdi del Cantone Ticino, Bellinzona
